,body,year,transmission,fuel,mileage,price,car_name
0,Sedan,2013,Manual,Petrol,145000,2870000,Toyota Corolla
1,Sedan,2000,Manual,Petrol,230000,995000,Honda City
2,Sedan,2021,Manual,Petrol,60500,3585000,Toyota Yaris
3,Hatchback,2017,Manual,Petrol,87000,2250000,Suzuki Swift
4,Sedan,2017,Automatic,Petrol,86000,4850000,Honda Civic
5,Sedan,2010,Automatic,Petrol,157000,2850000,Honda Civic
6,Hatchback,2019,Manual,Petrol,45000,2675000,Suzuki Swift
7,Sedan,2018,Automatic,Petrol,187000,3450000,Honda City
9,Sedan,2014,Manual,Petrol,110000,2585000,Honda City
11,Hatchback,2019,Manual,Petrol,69000,1365000,Suzuki Mehran
12,Sedan,2020,Automatic,Petrol,40000,4300000,Toyota Yaris
15,Sedan,2010,Automatic,Petrol,152000,2130000,Honda City
18,Hatchback,2019,Manual,Petrol,96200,2950000,Suzuki Cultus
20,Hatchback,2014,Automatic,Petrol,121,3150000,Toyota Vitz
21,Hatchback,2022,Manual,Petrol,34500,2200000,Suzuki Alto
22,Hatchback,2017,Manual,Petrol,52500,2505000,Suzuki Cultus
24,Sedan,2021,Automatic,Petrol,27000,6850000,Toyota Corolla
26,Hatchback,2020,Automatic,Hybrid,42500,6250000,Toyota Vitz
28,Hatchback,2020,Automatic,Petrol,9500,3400000,Suzuki Alto
29,Sedan,1999,Automatic,Petrol,200000,1190000,Honda Civic
30,Sedan,2020,Automatic,Petrol,32745,5390000,Toyota Yaris
32,Sedan,2018,Automatic,Petrol,76000,5200000,Honda Civic
34,Sedan,2021,Automatic,Hybrid,17449,10800000,Toyota Yaris
36,Hatchback,2019,Automatic,Petrol,51614,4990000,Toyota Vitz
41,Hatchback,2019,Automatic,Petrol,41952,4850000,Toyota Vitz
43,Hatchback,2019,Automatic,Petrol,38784,4950000,Toyota Vitz
44,Sedan,2005,Manual,Petrol,76000,1875000,Honda Civic
45,Sedan,2013,Automatic,Petrol,124000,2575000,Honda City
46,Sedan,1999,Automatic,Petrol,100000,1050000,Honda Civic
50,Sedan,2018,Automatic,Petrol,85000,4500000,Toyota Corolla
51,Sedan,2013,Manual,Petrol,129000,3150000,Toyota Corolla
53,Sedan,2017,Automatic,Petrol,117000,4900000,Honda Civic
54,Sedan,2019,Manual,Petrol,92000,4700000,Toyota Corolla
55,Sedan,2013,Automatic,Petrol,81000,3800000,Honda Civic
56,Hatchback,2017,Automatic,Hybrid,31000,5100000,Toyota Vitz
57,Sedan,2015,Manual,Petrol,96000,3450000,Toyota Corolla
58,Hatchback,2009,Automatic,Petrol,123,1550000,Suzuki Alto
59,Sedan,2015,Manual,Petrol,126000,2975000,Honda Civic
60,Sedan,2018,Automatic,Petrol,76000,3900000,Honda City
63,Sedan,2006,Manual,Petrol,200000,1325000,Honda Civic
66,Sedan,2022,Automatic,Petrol,8500,6925000,Toyota Corolla
67,Sedan,2015,Automatic,Petrol,147000,4300000,Honda Civic
68,Hatchback,2022,Automatic,Petrol,9000,4850000,Suzuki Swift
69,Sedan,2017,Automatic,Petrol,106000,5150000,Honda Civic
70,Hatchback,2020,Automatic,Petrol,41000,4600000,Toyota Vitz
74,Sedan,2019,Manual,Petrol,63000,3690000,Honda City
76,Hatchback,2019,Manual,Petrol,150000,2099000,Suzuki Alto
78,Hatchback,2006,Manual,Petrol,396701,700000,Suzuki Mehran
79,Sedan,2005,Automatic,Petrol,138545,1200000,Honda Civic
81,Hatchback,2021,Manual,Petrol,72000,2285000,Suzuki Alto
83,Hatchback,2015,Manual,Petrol,77000,2384000,Suzuki Swift
84,Hatchback,2012,Manual,Petrol,115000,870000,Suzuki Mehran
85,Hatchback,2022,Automatic,Petrol,11000,2950000,Suzuki Alto
86,Sedan,2015,Manual,Petrol,126000,2975000,Honda Civic
87,Sedan,2008,Manual,Petrol,589669,1490000,Toyota Corolla
89,Sedan,2013,Automatic,Petrol,100000,3200000,Honda City
90,Sedan,2018,Automatic,Petrol,114200,5090000,Honda Civic
91,Sedan,2007,Automatic,Petrol,192000,1880000,Honda Civic
93,Sedan,2017,Manual,Petrol,190000,3350000,Toyota Corolla
95,Sedan,2011,Manual,Petrol,125000,2825000,Toyota Corolla
97,Sedan,2010,Manual,Petrol,123456,2250000,Toyota Corolla
100,Hatchback,2020,Automatic,Petrol,36000,3695000,Suzuki Alto
101,Sedan,2018,Automatic,Petrol,94000,5800000,Toyota Corolla
104,Sedan,2018,Automatic,Petrol,65000,5395000,Honda Civic
105,Sedan,2019,Manual,Petrol,112076,3200000,Honda City
106,Sedan,2020,Automatic,Hybrid,4000,9000000,Toyota Corolla
107,Sedan,2006,Automatic,Petrol,150000,1650000,Honda Civic
108,Hatchback,2018,Manual,Petrol,123000,2350000,Suzuki Wagon
109,Sedan,2020,Automatic,Petrol,41000,6300000,Honda Civic
